FECHA;HORA;ESTACION;VIA;DISPOSITIVOT;DISPOSITIVON;DOMINIO;CATEGORIA;TARIFA;BONIFICACION;TIPO_DE_DOCUMENTO;DOCUMENTO_LEGAL;DOCUMENTO_SA;CLIENTE_WEB;CLIENTE_RED;SUB_CUENTA
2026-06-25;174408;0001;24;SI90;94530188;AD736OU;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;174528;0001;24;SI90;94891934;AE751PA;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;193024;0001;24;SI90;93458913;AH251LE;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;200322;0001;24;SI90;97196290;AD255OC;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;15317;0001;24;SI90;97134694;AH272KN;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;150522;0001;24;SI90;97196290;AD255OC;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;191433;0001;24;SI90;99540243;AF389UV;5;14121.97;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;40908;0001;24;SI90;92079954;AF993HK;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;211257;0001;24;SI90;94920955;AE908YL;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;20439;0001;25;SI90;61276153;AH800QR;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;150522;0001;25;SI90;99540243;AF389UV;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-17;13255;0001;25;SI90;94530188;AD736OU;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-17;114312;0001;25;SI90;94797663;AE469PL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;110412;0001;25;SI90;94911721;AE831SI;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;164534;0001;25;SI90;94920955;AE908YL;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-19;120216;0001;25;SI90;97190264;AH554RP;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-19;193226;0001;25;SI90;99738109;AE454PH;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-20;81435;0001;25;SI90;99540243;AF389UV;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-20;184108;0001;25;SI90;97191590;AH351RS;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-21;173510;0001;25;SI90;94797663;AE469PL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;220;0001;25;SI90;94891934;AE751PA;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;20342;0001;25;SI90;61276153;AH800QR;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;35045;0001;25;SI90;90836134;AD933WS;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;71059;0001;25;SI90;97162615;AH554RQ;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;130207;0001;25;SI90;99594918;AA946VU;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-23;113313;0001;25;SI90;97190264;AH554RP;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-23;212942;0001;25;SI90;99567025;AE284KH;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;82444;0001;25;SI90;93458913;AH251LE;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;94210;0001;25;SI90;97191590;AH351RS;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
